obs-studio 32.1.2-2.1
opencl-nvidia 595.71.05-1
opencode-bin 1.14.41-1
openssh 10.3p1-1.1
os-prober 1.84-1.1
otf-font-awesome 7.2.0-1
otf-geist-mono-nerd 3.4.0-2
pacman-contrib 1.13.1-1.2
partitionmanager 26.04.1-1.1
paru 2.1.0-2
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
phonon-qt6-vlc 0.12.0-6
pipewire-alsa 1:1.6.4-1.1
pipewire-pulse 1:1.6.4-1.1
pkgfile 25-2.1
plasma-browser-integration 6.6.4-1.1
plasma-desktop 6.6.4-1.1
plasma-firewall 6.6.4-1.1
plasma-foreground-booster 0.0.dmemcg.experimental-3
plasma-login-manager 6.6.4-2.1
plasma-nm 6.6.4-1
plasma-pa 6.6.4-1.1
plasma-systemmonitor 6.6.4-1.1
plasma-thunderbolt 6.6.4-1.1
plocate 1.1.24-1.1
plymouth 24.004.60-14.1
plymouth-kcm 6.6.4-1.1
pokeget 1.6.7-1
polkit-gnome 0.105-12.1
poppler-glib 26.04.0-1.1
postman-bin 12.9.0-1
power-profiles-daemon 0.30-3
powerdevil 6.6.4-1.1
pv 1.10.5-1.1
python 3.14.4-3
python-defusedxml 0.7.1-8
python-packaging 26.2-1
python-pip 26.1.1-1
python-pywalfox 2.7.4-1
python-screeninfo 0.8.1-3
qbittorrent 5.2.0-1
qt5-websockets 5.15.18+kde+r2-1
qt6-wayland 6.11.0-1.1
qt6ct 0.11-5.1
quickshell 0.2.1-6.1
r 4.6.0-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rofi 2.0.0-1.1
rog-control-center 6.3.7-1
rsync 3.4.2-1.1
s-nail 14.9.25-1.1
sg3_utils 1.48-1.2
shelly 2.2.4.0-2
slurp 1.5.0-2.1
smartmontools 7.5-1.1
snapper 0.13.1-2.1
sof-firmware 2025.12.2-1
spectacle 1:6.6.4-1.1
spotify 1:1.2.86.502-1
sudo 1.9.17.p2-2.1
